id,smiles,formula,charge
cpd00193,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OS(=O)(=O)[O-])[C@@H](O)[C@H]1O,C10H12N5O10PS,-2
cpd00194,C[n+]1ccc(-c2cc[n+](C)cc2)cc1.[Cl-].[Cl-],C12H14Cl2N2,0
cpd00195,*CO,CH3OR,0
cpd00196,CC(=O)OP(=O)([O-])[O-],C2H3O5P,-2
cpd00197,O=C([O-])c1ccc(O)c(O)c1,C7H5O4,-1
cpd00198,O=C(CO)[C@@H](O)[C@H](O)COP(=O)([O-])[O-],C5H9O8P,-2
cpd00199,O=CCCC(=O)[O-],C4H5O3,-1
cpd00200,CC(C)CC(=O)C(=O)[O-],C6H9O3,-1
cpd00201,Nc1nc2c(c(=O)[nH]1)N[C@@H](CN(C=O)c1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1)CN2,C20H21N7O7,-2
cpd00202,CC(C)=CCOP(=O)([O-])OP(=O)([O-])O,C5H10O7P2,-2
cpd00203,O=C(OP(=O)([O-])[O-])[C@H](O)COP(=O)([O-])[O-],C3H4O10P2,-4
cpd00204,C#[O+],CHO,1
cpd00205,[K+],K,1
cpd00206,Nc1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])[O-])O2)c(=O)n1,C9H12N3O7P,-2
cpd00207,Nc1nc2[nH]cnc2c(=O)[nH]1,C5H5N5O,0
cpd00208,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,C12H22O11,0
cpd00209,O=[N+]([O-])[O-],NO3,-1
cpd00210,[NH3+]CCS(=O)(=O)[O-],C2H7NO3S,0
cpd00211,CCCC(=O)[O-],C4H7O2,-1
cpd00212,OCC1(O)OC[C@H](O)[C@@H](O)[C@@H]1O,C6H12O6,0
cpd00213,NC(=O)CCCC[C@@H]1CCSS1,C8H15NOS2,0
